emotion,gender,block,picture,duration,mask
happy,M,4,28M_HA_C.png,0.034,mask_34M_CA_C.png
happy,M,4,34M_HA_C.png,0.034,mask_07F_HA_O.png
happy,M,4,20M_HA_C.png,0.034,mask_07F_HA_X.png
happy,M,4,33M_HA_C.png,0.034,mask_37M_FE_C.png
happy,M,4,32M_HA_C.png,0.034,mask_42M_NE_O.png
happy,M,4,26M_HA_C.png,0.034,mask_08F_NE_C.png
happy,M,4,21M_HA_C.png,0.034,mask_33M_SA_C.png
happy,M,4,35M_HA_C.png,0.034,mask_36M_AN_C.png
happy,M,4,24M_HA_C.png,0.050,mask_14F_NE_O.png
happy,M,4,22M_HA_C.png,0.050,mask_35M_SP_O.png
happy,M,4,25M_HA_C.png,0.050,mask_10F_DI_O.png
happy,M,4,31M_HA_C.png,0.050,mask_37M_HA_C.png
happy,M,4,28M_HA_C.png,0.050,mask_41M_SA_O.png
happy,M,4,34M_HA_C.png,0.050,mask_23M_HA_C.png
happy,M,4,20M_HA_C.png,0.050,mask_10F_CA_O.png
happy,M,4,33M_HA_C.png,0.050,mask_13F_FE_O.png
happy,M,4,32M_HA_C.png,0.050,mask_21M_SP_O.png
happy,M,4,26M_HA_C.png,0.050,mask_22M_AN_C.png
happy,M,4,21M_HA_C.png,0.050,mask_27M_SA_C.png
happy,M,4,35M_HA_C.png,0.050,mask_34M_CA_C.png
neutral,M,4,31M_NE_C.png,0.017,mask_42M_SP_O.png
neutral,M,4,28M_NE_C.png,0.017,mask_22M_SA_O.png
neutral,M,4,23M_NE_C.png,0.017,mask_40M_HA_C.png
neutral,M,4,37M_NE_C.png,0.017,mask_05F_NE_C.png
neutral,M,4,30M_NE_C.png,0.017,mask_09F_CA_O.png
neutral,M,4,24M_NE_C.png,0.017,mask_38M_SP_O.png
neutral,M,4,29M_NE_C.png,0.017,mask_08F_NE_C.png
neutral,M,4,36M_NE_C.png,0.017,mask_33M_SA_C.png
neutral,M,4,22M_NE_C.png,0.017,mask_36M_AN_C.png
neutral,M,4,27M_NE_C.png,0.017,mask_14F_NE_O.png
neutral,M,4,33M_NE_C.png,0.017,mask_35M_SP_O.png
neutral,M,4,21M_NE_C.png,0.017,mask_10F_DI_O.png
neutral,M,4,31M_NE_C.png,0.034,mask_07F_FE_O.png
neutral,M,4,28M_NE_C.png,0.034,mask_37M_HA_C.png
